month,ID,country,debt_inf,debt_out,eq_inf,eq_out,fdi_inf,fdi_out,other_inf,other_out,port_inf,port_out,中文名称,iso2,GPRC,GPRHC
1995-07-01T00:00:00Z,THA,Thailand,,,,,,,,,,,泰国,TH,0.0311951655894518,0.0309342127293348
1995-07-01T00:00:00Z,TUR,Türkiye,0.805,,-0.009,,0.051,0.001,0.234,0.386,0.796,0.018,土耳其,TR,0.155975818634033,0.0928026363253593
1995-07-01T00:00:00Z,UKR,Ukraine,,,,,,,,,,,乌克兰,UA,0.179372191429138,0.216539487242699
1995-07-01T00:00:00Z,ZAF,South Africa,0.018723755765127,,0.116197425483582,,,,,,0.134921173095703,,南非,ZA,0.0623903311789036,0.0618684254586697
1995-08-01T00:00:00Z,BEL,Belgium,,,,,,,,,,,比利时,BE,0.0899632349610329,0.0746189132332802
1995-08-01T00:00:00Z,BRA,Brazil,1.445474,-0.033750322,2.032912,0.004303322,0.425706,0.333132,2.92919,0.209315873,3.47838598632813,-0.0294469985961914,巴西,BR,0.00782288983464241,0
1995-08-01T00:00:00Z,CAN,Canada,6.421,-0.756,-0.266,0.777,,,,,6.155,0.021,加拿大,CA,0.148634910583496,0.085278756916523
1995-08-01T00:00:00Z,CHL,Chile,,,,,,,,,,,智利,CL,0.0156457796692848,0.0106598446145654
1995-08-01T00:00:00Z,CHN,China,,,,,,,,,,,中国,CN,0.219040915369988,0.202537044882774
1995-08-01T00:00:00Z,COL,Colombia,,,,,,,,,,,哥伦比亚,CO,0.0547602288424969,0.0532992221415043
1995-08-01T00:00:00Z,DEU,Germany,9.3929844,2.432706,0.5687184,-0.384798,0.4395828,2.6531496,11.570028,6.8467956,9.961703125,2.04790808105469,德国,DE,0.477196276187897,0.362434715032578
1995-08-01T00:00:00Z,DNK,Denmark,,,,,,,,,,,丹麦,DK,0.105609014630318,0.138577982783318
1995-08-01T00:00:00Z,ESP,Spain,,,,,0.3991464,0.3678408,-2.1992184,-3.058818,-2.106606,0.2321832,西班牙,ES,0.0938746780157089,0.117258287966251
1995-08-01T00:00:00Z,FIN,Finland,,,,,,,,,,,芬兰,FI,0.019557224586606,0.0319795347750187
1995-08-01T00:00:00Z,FRA,France,,,,,,,,,,,法国,FR,0.625831186771393,0.575631618499756
1995-08-01T00:00:00Z,HUN,Hungary,,,,,,,,,,,匈牙利,HU,0.0391144491732121,0.0532992221415043
1995-08-01T00:00:00Z,IDN,Indonesia,,,,,,,,,,,印度尼西亚,ID,0.0156457796692848,0.0319795347750187
1995-08-01T00:00:00Z,IND,India,,,,,0.126,,,,,,印度,IN,0.250332474708557,0.191877201199532
