date,Debt,Equity,Total,country1,name,iso3
2017-08-01,-837.2563654699999,1233.5785587599999,396.32219329,Brazil,Brazil,BRA
2017-12-01,-5406.172272219999,2754.5376739499998,-2651.6345982699995,Brazil,Brazil,BRA
2017-02-01,-1729.8206105799993,652.0467969499997,-1077.7738136299995,Brazil,Brazil,BRA
2017-01-01,-1927.4400149599983,962.1524107099997,-965.2876042499986,Brazil,Brazil,BRA
2017-07-01,1330.4164801000004,2295.4855921500007,3625.902072250001,Brazil,Brazil,BRA
2017-06-01,-2699.4385269100003,-1042.4030311499998,-3741.8415580600004,Brazil,Brazil,BRA
2017-03-01,-634.7280168899998,-2271.2051917500003,-2905.93320864,Brazil,Brazil,BRA
2017-05-01,-2176.45659749,802.4988211399997,-1373.9577763500006,Brazil,Brazil,BRA
2017-11-01,-2060.7378462799998,-88.66367007000076,-2149.4015163500007,Brazil,Brazil,BRA
2017-10-01,2292.1153346399997,-55.66473942999926,2236.4505952100003,Brazil,Brazil,BRA
2017-09-01,-1908.8154664999997,814.5896494100004,-1094.2258170899993,Brazil,Brazil,BRA
2018-04-01,3622.8238344200004,2309.191843,5932.01567742,Brazil,Brazil,BRA
2018-08-01,-6649.475612149999,-58.30028473999995,-6707.775896889999,Brazil,Brazil,BRA
2018-12-01,-2929.0540015499996,-1442.9651790000007,-4372.01918055,Brazil,Brazil,BRA
2018-02-01,254.39460280999987,65.9128651399993,320.30746794999914,Brazil,Brazil,BRA
2018-01-01,7700.695780290001,4167.59805049,11868.29383078,Brazil,Brazil,BRA
2018-07-01,6755.676436030001,4174.88993832,10930.56637435,Brazil,Brazil,BRA
2018-06-01,-2180.4175342099998,-1756.21389682,-3936.6314310299995,Brazil,Brazil,BRA
2018-03-01,-3844.21460441,-3926.14253907,-7770.35714348,Brazil,Brazil,BRA
2018-05-01,-1071.199230129999,-3081.6215178500015,-4152.82074798,Brazil,Brazil,BRA
2018-11-01,-3797.1079399200007,-1979.5173912099995,-5776.625331130001,Brazil,Brazil,BRA
2018-10-01,235.56668657999987,664.0953689099994,899.6620554899993,Brazil,Brazil,BRA
2018-09-01,-1438.3085214400003,-2199.0183692799997,-3637.32689072,Brazil,Brazil,BRA
2019-04-01,-1009.2965378800001,-271.83524761000047,-1281.1317854900005,Brazil,Brazil,BRA
2019-08-01,-3053.9046032400006,-3461.7116779100006,-6515.616281150002,Brazil,Brazil,BRA
2019-12-01,-3391.7252518500004,-752.2033195600017,-4143.928571410002,Brazil,Brazil,BRA
2019-02-01,5796.383404529999,-1471.3637632400012,4325.019641289998,Brazil,Brazil,BRA
2019-01-01,1901.259926579999,3513.24745254,5414.507379119999,Brazil,Brazil,BRA
2019-07-01,-1780.204419270002,4909.827260020001,3129.6228407499984,Brazil,Brazil,BRA
2019-06-01,-2562.4386412700005,1132.360833379999,-1430.0778078900016,Brazil,Brazil,BRA
2019-03-01,2140.32029415,-1206.7849114900012,933.5353826599987,Brazil,Brazil,BRA
2019-05-01,-1.568732739999774,-2435.9421280000006,-2437.51086074,Brazil,Brazil,BRA
2019-11-01,-1035.3725859800006,707.5800905699984,-327.7924954100022,Brazil,Brazil,BRA
2019-10-01,-3403.5526284300004,-1142.8667187800008,-4546.419347210001,Brazil,Brazil,BRA
2019-09-01,-2011.3654007499995,-1330.0560609900012,-3341.4214617400007,Brazil,Brazil,BRA
2020-04-01,-5595.070723559999,-2699.6475282500014,-8294.718251810002,Brazil,Brazil,BRA
2020-08-01,1813.882835,298.0469657599996,2111.9298007599996,Brazil,Brazil,BRA
2020-12-01,5667.2044067299985,3985.099752479998,9652.304159209996,Brazil,Brazil,BRA
2020-02-01,1741.8008277499998,-4539.3429541,-2797.5421263499998,Brazil,Brazil,BRA
2020-01-01,4899.049465640001,-1545.5260485900021,3353.5234170499984,Brazil,Brazil,BRA
2020-07-01,-1293.199691049999,342.03046873000113,-951.169222319998,Brazil,Brazil,BRA
2020-06-01,5052.027493199999,530.0920919500013,5582.119585150001,Brazil,Brazil,BRA
2020-03-01,-14778.384770060002,-7483.141350729998,-22261.52612079,Brazil,Brazil,BRA
2020-05-01,93.84962769000069,-1635.7224343799994,-1541.8728066899987,Brazil,Brazil,BRA
2020-11-01,1537.1061842599995,5514.935646179998,7052.041830439997,Brazil,Brazil,BRA
2020-10-01,2426.92914528,2909.0727838800003,5336.00192916,Brazil,Brazil,BRA
2020-09-01,1760.4210495300003,-881.9820118400005,878.4390376899999,Brazil,Brazil,BRA
2021-04-01,-32.52280592000074,1508.8500007500004,1476.3271948299996,Brazil,Brazil,BRA
2021-08-01,588.40584929,-540.1961270499995,48.209722240000474,Brazil,Brazil,BRA
2021-12-01,-1360.4662856400007,-853.1353723700014,-2213.601658010002,Brazil,Brazil,BRA
2021-02-01,3002.9662143999994,821.7865225800003,3824.75273698,Brazil,Brazil,BRA
