date,gdp,ca,net_ex,export,import,net_fa,fa_in,fa_out,net_fdi,fdi,ofdi,net_fpi,fpi,ofpi,derivative,reserve,other_net,other_in,other_out,err_ommit
2013-12-31,27593.8257255951,319.665281378226,887.805781308933,6384.79513621213,-5496.9893549032,1401.57587424549,-697.327990497415,2098.90386474291,848.826631613392,-203.544104355,1052.37073596839,259.344636616228,2.13363573592998,257.211000880298,0,-1307.7653083428,293.404606015874,-495.917521878345,789.322127894219,-414.823563246519
2014-03-31,22923.5554686991,54.7687625687604,-104.92441524789,5294.2358213921,-5399.16023663999,820.050596148119,-641.655482851303,1461.70607899942,422.607652344071,-190.58188529,613.189537634071,223.369590854646,17.8472319454638,205.522358909182,0,-1254.766316688,174.073352949402,-468.920829506767,642.994182456169,378.37569214912
2014-06-30,25092.1335342975,754.835622509014,626.488251200411,6123.24777403291,-5496.7595228325,-347.436113122322,-1504.66699610757,1157.23088298525,252.113737852721,-285.9160740163,538.029811869021,145.563141019269,7.22008957888557,138.343051440384,0,-224.154007894613,-745.112991994312,-1225.97101167016,480.858019675846,-177.23525304158
2014-09-30,26901.2284133581,785.048008137804,765.034240927453,6589.29204020103,-5824.25779927358,-399.963432021167,-1197.95797293492,797.994540913753,264.709788023691,-376.3850508129,641.094838836591,235.452135855997,-37.7107812354239,273.162917091421,0,0.663039449467201,-900.125355900854,-783.862140886596,-116.263215014258,-386.831117320304
2014-12-31,29387.3043732631,765.813385520715,926.394392592721,6622.24467098509,-5695.85027839237,-586.26140835709,-1284.25743229823,697.996023941136,510.24508936527,-378.4125329384,888.65762230367,219.909606137588,-95.5039774916587,315.413583629247,0,300.4560669708,-1316.41610385995,-810.340921868167,-506.075181991781,-483.036045169526
2015-03-31,24223.4052783417,751.7281249262,698.268243663855,5350.48272287096,-4652.2144792071,-924.274870319342,-593.61055724872,-330.664313070621,447.439673770282,-220.8606397796,668.300313549882,-81.3241877446,-251.7387879745,170.4146002299,-8.3276061104,802.385073302706,-1282.06275023462,-110.91381391602,-1171.1489363186,-631.624856784064
2015-06-30,27185.7278035248,676.000515954295,814.167975069205,5812.27274542875,-4998.10477035954,-507.563784575812,-1172.02154445461,664.457759878796,297.296145283653,-320.0918840978,617.388029381453,-159.5488199838,-320.5629043449,161.0140843611,1.2558272681,-131.006741766927,-646.566937143765,-518.830785072408,-127.736152071357,-38.4987419595561
2015-09-30,27970.2607529578,667.657097727663,968.339291717792,6131.13271616482,-5162.79342444702,-1409.12740992656,-622.759186477039,-786.368223449526,-113.620670997011,-536.7284697149,423.107798717888,-172.1144869351,-0.676507769500002,-171.4379791656,-14.1515189092,1605.39647642942,-1109.24073308525,-73.6833652750388,-1035.55736781021,-863.76750831492
2015-12-31,30076.6703803584,834.837431747311,1097.93213236188,6307.63633862647,-5209.70420626459,-1503.6554008368,-946.457959202906,-557.197441633893,49.871349590865,-666.2258250339,716.097174624765,-251.7131241696,-159.1116415543,-92.6014826153,0.3521119545,1152.6175544678,-1302.16573821256,-121.224855820006,-1180.94088239256,-484.263895734216
2016-03-31,24889.5314088385,455.096232681467,520.006150177696,4755.37658173408,-4235.37043155639,-1286.87276119835,-1102.56228344308,-184.310477755274,-185.768811782793,-598.84405408989,413.075242307097,-401.6451181387,-211.8819622951,-189.7631558436,14.6321139411,1232.73242966866,-714.090945217958,-277.325409864387,-436.765535353571,-399.833473660078
2016-06-30,27626.3153887155,590.984976993741,730.167022224844,5445.58541319196,-4715.41839096712,-582.690028639534,-1385.65887865679,802.968850017258,-259.715187310572,-636.939095854523,377.223908543951,87.6565208856308,-153.2432825668,240.899803452431,-39.319235825,345.250068245156,-371.312126389593,-566.828771506169,195.516645116576,-353.238278316962
2016-09-30,28675.6775691581,720.095782876583,748.347660559946,5796.03574190718,-5047.68808134723,-1334.40170990845,-2289.10521520723,954.703505298781,-306.764219051648,-564.2245991602,257.460380108553,-64.5713898553369,-333.963137005337,269.39174715,-11.3344950674,1363.2638952949,-951.731605934062,-1383.33883076409,431.607224830028,-747.017475147439
2016-12-31,30810.3125212377,147.193366868152,558.850049459013,5982.22695446233,-5423.37690500332,-956.738041514227,-1979.16903282491,1022.43099131068,335.499456449772,-364.236858431132,699.736314880904,-144.1461804335,-328.6074311072,184.4612506737,-17.8186980927,1495.39956089,-1130.2726194378,-1271.56535621028,141.292736772477,-685.780470861625
2017-03-31,26451.5598865537,209.168648896069,191.080768310049,5255.87971297516,-5064.79894466512,162.17473305815,-837.391540991495,999.566274049645,30.9248224702138,-299.598378770467,330.523201240681,-38.7930885997,-180.4836623296,141.6905737299,-1.3091662831,25.8856607168043,171.352165470736,-355.564400875428,526.916566346165,-395.958779513123
